PLAYER,TEAM,SPAN,MATCH,INNINGS,NOT OUT,RUNS,HIGH SCORE,AVERAGE,BALL FACED,STRIKE RATE,HUNDRED,FIFTY,DUCK,FOURS,SIXES
GJ Maxwell,"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Royal Challengers Bangalore)",2012-2022,110,106,15,2319,95,25.48,1507,153.88,0,13,12,197,127
N Rana,"(Kolkata Knight Riders, Mumbai Indians)",2016-2022,91,85,8,2181,87,28.32,1625,134.21,0,15,7,190,111
R Dravid,"(Rajasthan Royals, Royal Challengers Bangalore)",2008-2013,89,82,5,2174,75*,28.23,1882,115.51,0,11,3,268,28
KS Williamson,(Sunrisers Hyderabad),2015-2022,76,75,17,2101,89,36.22,1667,126.03,0,18,2,181,64
AJ Finch,"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",2010-2022,92,90,7,2091,88*,25.19,1631,128.2,0,15,8,214,78
AC Gilchrist,"(Deccan Chargers, Kings XI Punjab)",2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92
AD Russell,"(Delhi Daredevils, Kolkata Knight Riders)",2012-2022,98,82,15,2035,88*,30.37,1144,177.88,0,10,4,137,175
JP Duminy,"(Deccan Chargers, Delhi Daredevils, Mumbai Indians)",2009-2018,83,77,26,2029,78*,39.78,1636,124.02,0,14,1,126,79
MEK Hussey,"(Chennai Super Kings, Mumbai Indians)",2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52
HH Pandya,"(Gujarat Titans, Mumbai Indians)",2015-2022,107,100,35,1963,91,30.2,1330,147.59,0,8,5,146,110
Shubman Gill,"(Gujarat Titans, Kolkata Knight Riders)",2018-2022,74,71,12,1900,96,32.2,1517,125.24,0,14,3,188,47
